Station number,Station name,Region,Rainfall (mm),Latitude (°),Longitude (°),Elevation (m)
58201,TUNCESTER (LEYCESTER CREEK),NSW,54.0,-28.80,153.24,10
40854,LOGAN CITY WATER TREATMENT PLANT,QLD,53.6,-27.68,153.20,10
58198,BALLINA AIRPORT AWS,NSW,53.6,-28.84,153.56,1
39035,MELROSE,QLD,53.0,-23.14,149.97,60
58202,BENTLEY (BACK CREEK),NSW,53.0,-28.74,153.08,40
83094,HOWITT PLAINS (HIGH RIDGE),VIC,52.6,-37.22,146.60,1600
41052,JINGI JINGI,QLD,51.4,-26.69,151.10,365
91321,LOONGANA (SERENDIPITY),TAS,51.2,-41.40,145.93,468
97020,LAKE MARGARET POWER STATION,TAS,51.2,-42.00,145.54,320
40788,FORESTDALE(JOHNSON RD)AL,QLD,51.0,-27.66,153.00,80
40820,SOMERSET DAM TM,QLD,51.0,-27.12,152.56,61
40932,DARLINGTON ALERT,QLD,51.0,-28.26,153.09,300
96071,LAKE ST CLAIR NATIONAL PARK,TAS,50.8,-42.12,146.18,742
97091,QUEENSTOWN (SOUTH QUEENSTOWN),TAS,50.4,-42.10,145.55,118
40865,CANNON COVE AL,QLD,50.0,-28.09,152.72,225
40939,BEAUDESERT ALERT,QLD,50.0,-27.97,152.99,50
40964,REGENTS PARK,QLD,50.0,-27.67,153.04,38
58180,NIMBIN (GOOLMANGAR CREEK),NSW,50.0,-28.61,153.21,60
71075,PERISHER VALLEY AWS,NSW,49.8,-36.41,148.41,1738
56237,INVERELL (ELSMORE VILLAGE),NSW,49.4,-29.80,151.27,700
97024,WARRA,TAS,49.2,-43.06,146.70,495
40823,ROSENTRETERS BRIDGE TM,QLD,49.0,-27.14,152.33,102
56240,GUYRA (BOX POINT),NSW,49.0,-30.33,151.73,1340
58005,BRAYS CREEK (MISTY MOUNTAIN),NSW,49.0,-28.40,153.17,130
88103,MARYSVILLE GOLF COURSE,VIC,48.8,-37.50,145.75,400
60085,YARRAS (MOUNT SEAVIEW),NSW,48.6,-31.39,152.25,155
33285,THE GAP TM,QLD,48.0,-23.09,150.11,9
39340,MINGO CREEK ALERT,QLD,48.0,-25.32,151.72,100
40794,GREENBANK(THOMPSON RD)AL,QLD,48.0,-27.70,152.93,80
85042,JINDIVICK,VIC,48.0,-38.02,145.90,260
39334,HAZELDEAN,QLD,47.8,-24.02,150.96,66
58023,MCLEANS RIDGES (LASCOTT DRIVE),NSW,47.8,-28.79,153.40,120
86266,FERNY CREEK,VIC,47.4,-37.87,145.35,513
33320,MT JUKES,QLD,47.0,-21.01,148.91,55
40896,TEDDINGTON WEIR HW TM,QLD,47.0,-25.65,152.66,25
97054,ZEEHAN (WEST COAST PIONEERS MUSEUM),TAS,46.9,-41.88,145.34,175
39222,CANIA GORGE PARK,QLD,46.8,-24.66,150.96,302
59146,KALANG (KOOROOWI (SHARABEL)),NSW,46.5,-30.47,152.82,86
40764,GOLD COAST SEAWAY,QLD,46.4,-27.94,153.43,3
140009,GREENBANK (DEFENCE),QLD,46.4,-27.69,152.99,42
40913,BRISBANE,QLD,46.2,-27.48,153.04,8
40946,RATHDOWNEY ALERT,QLD,46.0,-28.22,152.87,84
40993,GYMPIE ALERT,QLD,46.0,-26.19,152.66,37
140007,REDLAND (ALEXANDRA HILLS),QLD,45.2,-27.54,153.24,51
1010,THEDA,WA,45.0,-14.79,126.50,210
58162,NASHUA (WILSONS RIVER),NSW,45.0,-28.73,153.46,30
33308,SAMUEL HILL AERO,QLD,44.8,-22.74,150.66,31
40940,YARRAHAPPINI ALERT,QLD,44.4,-27.83,152.99,40
86393,CAPE SCHANCK,VIC,44.4,-38.46,144.90,145
91194,MOUNT VICTORIA (UNA PLAIN),TAS,44.4,-41.35,147.80,710
9628,COLLIE,WA,44.2,-33.36,116.15,204
40824,FISHERMANS POCKET TM,QLD,44.0,-26.17,152.60,33
40831,IPSWICH ALERT,QLD,44.0,-27.61,152.76,-999
40893,GOOMBOORIAN ALERT,QLD,44.0,-26.06,152.77,80
40983,BEAUDESERT DRUMLEY STREET,QLD,44.0,-27.97,152.99,48
40390,TEDDINGTON WATERWORKS,QLD,43.8,-25.65,152.66,28
54076,KINGS PLAINS (WINDERMERE),NSW,43.8,-29.64,151.43,-999
85021,MOUNT USEFUL,VIC,43.8,-37.70,146.52,1440
40908,TEWANTIN RSL PARK,QLD,43.6,-26.39,153.04,6
57003,BONALBO POST OFFICE,NSW,43.1,-28.74,152.62,170
40376,TYUNGUN ALERT,QLD,43.0,-28.09,153.16,200
57124,POINT LOOKOUT,NSW,43.0,-30.48,152.40,1550
86072,MONBULK (SPRING ROAD),VIC,43.0,-37.88,145.42,-999
33059,PLANE CREEK SUGAR MILL,QLD,42.8,-21.43,149.22,16
40793,LYONS ALERT,QLD,42.8,-27.76,152.84,150
91259,LUNCHEON HILL (FORESTRY),TAS,42.8,-41.15,145.15,344
40209,POINT LOOKOUT,QLD,42.2,-27.44,153.55,41
40089,GOOMBOORIAN,QLD,42.0,-26.06,152.79,94
41515,FELTON TM,QLD,42.0,-27.85,151.68,405
97047,SAVAGE RIVER MINE,TAS,41.8,-41.49,145.21,352
9592,PEMBERTON,WA,41.7,-34.45,116.04,174
40405,HERVEY BAY AIRPORT,QLD,41.6,-25.32,152.88,13
40976,BRISBANE BOTANIC GARDENS MT COOT-THA,QLD,41.4,-27.48,152.98,65
58199,ROCK VALLEY (LEYCESTER CREEK),NSW,41.0,-28.74,153.16,20
40043,CAPE MORETON LIGHTHOUSE,QLD,40.8,-27.03,153.47,100
9714,KIRUP,WA,40.6,-33.70,115.89,260
41145,MARNHULL,QLD,40.6,-26.84,151.17,348
71032,THREDBO AWS,NSW,40.6,-36.49,148.29,1957
91055,LORINNA,TAS,40.6,-41.54,146.14,259
54153,CARODA (PALEROO),NSW,40.4,-30.12,150.13,488
83093,MT SUNDAY,VIC,40.2,-37.34,146.42,1420
39314,SEVENTEEN SEVENTY,QLD,40.0,-24.16,151.89,41
40754,RATHDOWNEY TM,QLD,40.0,-28.22,152.87,84
40978,BRIBIE ISLAND ALERT,QLD,40.0,-27.08,153.18,7
41560,GOONDIWINDI AIRPORT,QLD,40.0,-28.52,150.32,217
82112,OVENS RIVER @ EUROBIN,VIC,39.8,-36.65,146.86,-999
60141,TAREE AIRPORT AWS,NSW,39.6,-31.89,152.51,8
79103,GRAMPIANS (MOUNT WILLIAM),VIC,39.6,-37.30,142.60,1150
83001,OVENS RIVER @ HARRIETVILLE,VIC,39.6,-36.88,147.06,-999
91223,MARRAWAH,TAS,39.4,-40.91,144.71,107
40126,MARYBOROUGH,QLD,39.2,-25.51,152.72,9
40790,MT GRAVATT ALERT,QLD,39.0,-27.54,153.06,195
40814,MOY POCKET TM,QLD,39.0,-26.53,152.74,70
40875,BUNDAMBA SCHOOL ALERT,QLD,39.0,-27.61,152.81,-999
58148,LILLIAN ROCK (WILLIAMS ROAD),NSW,39.0,-28.53,153.15,345
60147,KILLABAKH,NSW,39.0,-31.73,152.40,-999
60161,COMBOYNE (PUBLIC SCHOOL),NSW,39.0,-31.61,152.47,617
94027,HASTINGS CHALET,TAS,39.0,-43.41,146.87,35
40093,GYMPIE,QLD,38.6,-26.18,152.64,65
85310,YARRAGON SOUTH,VIC,38.4,-38.27,146.09,413
91357,EDITH CREEK (BIRTHDAY CREEK),TAS,38.4,-40.98,145.09,50
58212,EVANS HEAD RAAF BOMBING RANGE AWS,NSW,38.2,-29.18,153.40,63
91198,MOUNT BARROW (SOUTH BARROW),TAS,38.2,-41.39,147.42,1313
33053,MOUNT JUKES,QLD,38.0,-21.00,148.94,30
40762,YARRAHAPPINI TM,QLD,38.0,-27.83,152.99,11
40094,HARRISVILLE MARY STREET,QLD,37.8,-27.81,152.67,58
98000,CITY OF MELBOURNE BAY,TAS,37.8,-40.01,144.11,18
40695,PALMWOODS,QLD,37.6,-26.71,152.93,40
40777,IMBIL ALERT,QLD,37.6,-26.46,152.68,76
40861,SUNSHINE COAST AIRPORT,QLD,37.6,-26.60,153.09,3
91153,BARRINGTON POST OFFICE,TAS,37.6,-41.34,146.28,264
85007,BALOOK,VIC,37.4,-38.43,146.54,585
40818,MT CROSBY TM,QLD,37.0,-27.54,152.80,0
40873,HARDING STREET ALERT,QLD,37.0,-27.64,152.79,-999
40904,RAILWAY BRIDGE ALERT,QLD,37.0,-25.28,152.51,10
40985,BELLBIRD PARK (PURSER RD) AL,QLD,37.0,-27.67,152.87,57
91365,SPRENT,TAS,36.8,-41.26,146.16,270
91364,BOAT HARBOUR,TAS,36.6,-40.93,145.60,184
97083,SCOTTS PEAK DAM,TAS,36.6,-43.04,146.27,408
60153,MOPPY LOOKOUT (BARRINGTON TOPS),NSW,36.4,-31.89,151.56,1340
96003,BUTLERS GORGE,TAS,36.4,-42.28,146.28,667
91355,BURNIE (PARK GROVE),TAS,36.2,-41.05,145.88,99
33263,BOUNDARY CREEK ALERT,QLD,36.0,-20.42,148.11,196
40811,KILKIVAN TM,QLD,36.0,-26.08,152.22,29
40907,HOWARD ALERT,QLD,36.0,-25.33,152.56,10
91332,RAILTON (DOWBIGGIN STREET),TAS,35.8,-41.35,146.42,75
83091,JAMIESON LICOLA RD,VIC,35.2,-37.30,146.15,340
58129,KUNGHUR (THE JUNCTION),NSW,35.0,-28.47,153.25,61
35295,BINGEGANG WEIR HW ALERT,QLD,34.6,-23.07,149.04,107
39071,MOURA POST OFFICE,QLD,34.6,-24.57,149.97,148
39068,MOUNT LARCOM POST OFFICE,QLD,34.4,-23.81,150.98,59
40224,ALDERLEY,QLD,34.4,-27.42,153.00,39
40969,GODWIN BEACH,QLD,34.4,-27.07,153.11,7
58216,BYRON BAY (CAPE BYRON AWS),NSW,34.4,-28.64,153.64,95
91291,SHEFFIELD SCHOOL FARM,TAS,34.4,-41.39,146.32,277
92051,PYENGANA (FOREST LODGE ROAD),TAS,34.2,-41.27,147.95,155
40004,AMBERLEY AMO,QLD,34.0,-27.63,152.71,24
40500,EMBREYS BRIDGE,QLD,34.0,-26.64,151.94,357
40778,ZACHARIAH TM,QLD,34.0,-26.36,152.63,90
40988,NAMBOUR DAFF - HILLSIDE,QLD,34.0,-26.64,152.94,53
56001,SAPPHIRE (ARGYLE),NSW,34.0,-29.72,151.36,795
85238,ERICA (PARKERS CORNER),VIC,34.0,-37.95,146.39,483
60168,PORT MACQUARIE AIRPORT AWS,NSW,33.8,-31.43,152.87,5
58207,BUSBYS FLAT,NSW,33.4,-29.04,152.81,105
91266,KIMBERLEY (MERSEY RIVER),TAS,33.2,-41.40,146.50,60
40458,CAPALABA WATER TREAT,QLD,33.0,-27.53,153.18,28
56245,BEN LOMOND (BEULAH),NSW,33.0,-29.96,151.61,1457
91107,WYNYARD AIRPORT,TAS,32.4,-41.00,145.73,12
83058,HALLS (BUCKLAND RIVER AT TWELVE MILE),VIC,32.2,-36.85,146.86,500
85309,MOE SOUTH,VIC,32.2,-38.22,146.25,365
40942,PALEN CREEK ALERT,QLD,32.0,-28.32,152.77,220
41090,DARR CREEK AL,QLD,32.0,-26.54,151.13,393
83010,EUROBIN,VIC,32.0,-36.63,146.86,266
96069,DERWENT BRIDGE,TAS,31.8,-42.13,146.22,727
40801,KANDANGA TM,QLD,31.6,-26.39,152.68,80
40868,MT JOSEPH TM,QLD,31.6,-25.74,152.24,120
42119,PALMERSTON,QLD,31.6,-27.54,149.41,279
83085,MOUNT HOTHAM,VIC,31.4,-36.98,147.13,1849
85063,MOUNT BEST (UPPER TOORA),VIC,31.4,-38.61,146.32,235
91109,YOLLA (SEA VIEW),TAS,31.2,-41.14,145.71,343
91305,TARGA (MOUNTAIN VIEWS),TAS,31.2,-41.31,147.38,410
35039,GILIGULGUL TM,QLD,31.0,-26.36,150.05,367
40247,LINDFIELD,QLD,31.0,-26.84,152.58,146
22835,PARNDANA (TURKEY LANE),SA,30.8,-35.73,137.12,201
95059,TIM SHEA (SUMMIT),TAS,30.6,-42.72,146.47,925
85280,MORWELL (LATROBE VALLEY AIRPORT),VIC,30.4,-38.21,146.47,56
40334,BIGGENDEN ALERT,QLD,30.0,-25.51,152.04,125
60096,CABBAGE TREE MOUNTAIN,NSW,30.0,-32.26,152.12,-999
91366,JACKEYS MARSH,TAS,30.0,-41.68,146.68,489
39303,CHILDERS SOUTH,QLD,29.8,-25.26,152.28,95
86104,SCORESBY RESEARCH INSTITUTE,VIC,29.8,-37.87,145.26,80
88154,GLENBURN (HIGHWOOD TBRG),VIC,29.8,-37.39,145.48,313
84147,BAIRNSDALE (MITCHELL RIVER @ ROSEHILL),VIC,29.4,-37.82,147.57,20
39258,WALLA ALERT-B,QLD,29.2,-25.14,151.98,15
41169,KERIMBILLA TM,QLD,29.2,-28.39,150.48,225
82163,CARBOOR UPPER,VIC,29.2,-36.64,146.55,298
85313,NILMA NORTH (WARRAGUL),VIC,29.2,-38.13,145.99,134
97092,STRAHAN (ANDREW STREET),TAS,29.2,-42.15,145.32,10
40833,HOME PARK TM,QLD,29.0,-25.77,152.53,5
40980,DECEPTION BAY ALERT,QLD,29.0,-27.18,153.02,4
59045,MELDRUM (COOLAWARRAH),NSW,29.0,-30.36,152.49,1230
86127,WONTHAGGI,VIC,29.0,-38.61,145.60,53
91338,MOUNT ARTHUR SUMMIT,TAS,29.0,-41.28,147.29,1180
39089,THANGOOL AIRPORT,QLD,28.4,-24.49,150.57,193
85296,MOUNT MOORNAPA,VIC,28.4,-37.75,147.14,480
40842,BRISBANE AERO,QLD,28.2,-27.39,153.13,5
40317,RANGE VIEW,QLD,28.0,-27.75,152.67,53
40836,ONE MILE BRIDGE ALERT,QLD,28.0,-27.63,152.75,0
58007,BYRON BAY (JACARANDA DRIVE),NSW,28.0,-28.64,153.59,3
84144,MOUNT NOWA NOWA,VIC,28.0,-37.69,148.09,350
91292,SMITHTON AERODROME,TAS,27.8,-40.83,145.08,8
57095,TABULAM (MUIRNE),NSW,27.6,-28.76,152.45,555
91219,SCOTTSDALE (WEST MINSTONE ROAD),TAS,27.6,-41.17,147.49,198
40889,OAKWOOD TM,QLD,27.4,-26.45,152.49,200
40958,REDCLIFFE,QLD,27.4,-27.22,153.09,13
55257,DURI (DUNGOWAN RD),NSW,27.4,-31.22,150.82,456
91267,MEANDER (MEANDER RIVER),TAS,27.4,-41.65,146.62,292
40965,CLONTARF,QLD,27.2,-27.24,153.09,29
85009,TRARALGON EPA,VIC,27.2,-38.20,146.53,-999
40902,MUSKET FLAT MT ALERT,QLD,27.0,-25.50,152.38,200
59007,KEMPSEY AIRPORT AWS,NSW,26.8,-31.07,152.77,13
85030,BOOLARRA SOUTH,VIC,26.8,-38.41,146.30,235
90197,MOUNT RICHMOND (BLACKS ROAD),VIC,26.8,-38.15,141.38,131
83000,ARCHERTON,VIC,26.6,-36.91,146.24,907
91348,PIPERS RIVER (BAY OF FIRES),TAS,26.6,-41.11,147.10,70
33119,MACKAY M.O,QLD,26.4,-21.12,149.22,30
71041,THREDBO VILLAGE,NSW,26.4,-36.50,148.30,1380
96033,LIAWENEE,TAS,26.4,-41.90,146.67,1057
33266,MOSS VALE ALERT,QLD,26.0,-20.24,148.03,138
40949,BOONAH ALERT,QLD,26.0,-28.00,152.69,110
41085,QUEEN MARY FALLS,QLD,26.0,-28.33,152.39,895
41509,TRAIGHLI,QLD,26.0,-27.67,150.35,297
60162,COOPLACURRIPA (HAWKINS RD),NSW,26.0,-31.59,151.83,-999
60164,YARROWITCH (RUSHBROOK),NSW,26.0,-31.35,152.01,1168
84150,LAKES ENTRANCE (EASTERN BEACH ROAD),VIC,25.9,-37.87,148.01,4
55136,WOOLBROOK (WOOLBROOK ROAD),NSW,25.8,-30.97,151.35,925
85270,MITCHELL RIVER @ GLENALADALE,VIC,25.8,-37.76,147.37,40
58194,DAIRY FLAT,NSW,25.4,-28.38,152.72,25
86068,VIEWBANK,VIC,25.4,-37.74,145.10,66
91290,GOLDEN VALLEY (BRODIES ROAD),TAS,25.2,-41.63,146.70,487
39044,RIVERSLEA TM,QLD,25.0,-23.57,149.95,32
40816,AMBERLEY (DNRM) TM,QLD,25.0,-27.67,152.70,18
40905,UPPER CHERWELL ALERT,QLD,25.0,-25.29,152.41,30
42112,MILES CONSTANCE STREET,QLD,25.0,-26.66,150.18,305
84045,LAKE TYERS,VIC,25.0,-37.85,148.06,21
84145,ORBOST,VIC,25.0,-37.69,148.47,63
85302,TAMBORITHA-MOROKA (SNOWY RANGE),VIC,24.8,-37.29,146.72,-999
40184,ROSEWOOD WALLOON RD,QLD,24.6,-27.63,152.59,63
18137,PORT LINCOLN (WESTMERE),SA,24.4,-34.83,135.70,90
85288,MOUNT TAMBORITHA,VIC,24.4,-37.47,146.69,1446
88119,ACHERON RIVER @ TAGGERTY,VIC,24.4,-37.32,145.72,-999
56243,GLEN INNES AIRPORT AWS,NSW,24.2,-29.68,151.69,1044
57020,URBENVILLE,NSW,24.2,-28.47,152.55,378
88023,LAKE EILDON,VIC,24.2,-37.23,145.91,230
40832,FOREST HOME TM,QLD,24.0,-28.20,152.77,110
40933,FOXLEY ALERT,QLD,24.0,-28.27,153.03,178
41490,BRIGALOW BRIDGE TM,QLD,24.0,-26.90,150.78,297
82105,WHITFIELD (KING RIVER AT CHESHUNT),VIC,24.0,-36.83,146.40,293
82158,EDI UPPER (BLACK RANGE TROUT FARM),VIC,23.8,-36.75,146.54,-999
97072,STRAHAN AERODROME,TAS,23.8,-42.16,145.29,21
60116,KINDEE BRIDGE (HASTINGS RIVER),NSW,23.6,-31.44,152.46,-999
84142,GELANTIPY,VIC,23.6,-37.22,148.26,755
85279,BAIRNSDALE AIRPORT,VIC,23.6,-37.88,147.57,49
90194,DARTMOOR,VIC,23.6,-37.92,141.26,51
48256,WEILMORINGLE (CARINGLE) COMPARISON,NSW,23.4,-29.35,146.81,126
60067,UPPER PAPPINBARRA (HILLCREST),NSW,23.4,-31.28,152.43,220
56238,ARMIDALE AIRPORT AWS,NSW,23.2,-30.53,151.62,1079
40903,PACIFIC HAVEN ALERT,QLD,23.0,-25.24,152.53,10
59128,MAJORS CREEK (MOPARRABAH (PARRABEL CREEK,NSW,23.0,-30.98,152.51,-999
82142,TOLMIE (MOUNT TABLETOP REPEATER),VIC,23.0,-36.95,146.22,915
84023,MARLO,VIC,23.0,-37.79,148.55,38
86213,ROSEBUD (COUNTRY CLUB),VIC,23.0,-38.38,144.90,20
85289,MURDERERS HILL,VIC,22.8,-37.85,146.56,720
90188,BENWERRIN,VIC,22.8,-38.48,143.91,-999
91351,GLENGARRY (GINNS ROAD),TAS,22.8,-41.38,146.82,217
91227,DELORAINE RAILWAY BRIDGE (MEANDER RIVER),TAS,22.6,-41.53,146.66,240
96002,BRONTE HEIGHTS,TAS,22.6,-42.14,146.49,710
9030,MUNDARING,WA,22.4,-31.90,116.16,300
40693,HIGHVALE,QLD,22.4,-27.38,152.82,98
83024,MOUNT BULLER,VIC,22.4,-37.15,146.44,1707
86297,MOUNT WAVERLEY (RIVERSDALE GOLF CLUB),VIC,22.4,-37.87,145.12,92
90171,PORTLAND AIRPORT,VIC,22.4,-38.31,141.47,81
33106,HAMILTON ISLAND AIRPORT,QLD,22.2,-20.37,148.95,59
85281,TRARALGON CREEK AT KOORNALLA,VIC,22.2,-38.32,146.53,90
85307,JEERALANG NORTH,VIC,22.2,-38.35,146.44,606
85308,THORPDALE PEAK,VIC,22.2,-38.31,146.21,360
14825,VICTORIA RIVER DOWNS,NT,22.0,-16.40,131.01,89
15511,CURTIN SPRINGS,NT,22.0,-25.31,131.76,490
39351,UPPER ULAM ROAD,QLD,22.0,-23.62,150.54,-999
40934,ROMANI ALERT,QLD,22.0,-27.85,152.91,39
85041,INVERLOCH,VIC,22.0,-38.61,145.71,50
91126,DEVONPORT AIRPORT,TAS,22.0,-41.17,146.43,8
85151,YARRAM AIRPORT,VIC,21.8,-38.56,146.75,18
85168,BRIAGOLONG,VIC,21.8,-37.83,147.08,68
22823,CAPE BORDA,SA,21.6,-35.75,136.60,158
72161,CABRAMURRA SMHEA AWS,NSW,21.6,-35.94,148.38,1482
35081,WOLEEBEE NEVASA,QLD,21.5,-26.29,149.83,273
39002,BAJOOL POST OFFICE,QLD,21.4,-23.65,150.65,16
40082,UNIVERSITY OF QUEENSLAND GATTON,QLD,21.4,-27.54,152.34,89
40106,KENILWORTH TOWNSHIP,QLD,21.4,-26.60,152.73,107
94249,CRABTREE (STONEY CREEK FARM),TAS,21.4,-42.93,147.04,249
92045,LARAPUNA (EDDYSTONE POINT),TAS,21.2,-40.99,148.35,20
40943,DIECKMANS BRIDGE ALERT,QLD,21.0,-28.25,152.89,105
40948,KNAPPS PEAK ALERT,QLD,21.0,-28.15,152.74,278
60065,WOOTTON,NSW,21.0,-32.29,152.30,-999
61413,CAREYS PEAK (BARRINGTON TOPS),NSW,21.0,-32.05,151.47,1430
82167,GRETA WEST,VIC,21.0,-36.53,146.22,174
83083,EDI UPPER,VIC,21.0,-36.74,146.47,355
86373,RHYLL,VIC,21.0,-38.46,145.31,13
55325,TAMWORTH AIRPORT AWS,NSW,20.8,-31.07,150.84,395
85072,EAST SALE,VIC,20.8,-38.12,147.13,5
87135,BARWON HEADS GOLF CLUB,VIC,20.6,-38.28,144.48,8
90183,HAINES JUNCTION (MOUNT SABINE),VIC,20.6,-38.63,143.73,583
90185,LORNE (MOUNT COWLEY),VIC,20.6,-38.55,143.86,657
40258,YARRAMAN POST OFFICE,QLD,20.4,-26.84,151.98,445
75163,HILLSTON ( ALDINGA),NSW,20.4,-33.35,145.87,135
84003,BRUTHEN (POST OFFICE),VIC,20.4,-37.71,147.83,22
85099,POUND CREEK,VIC,20.4,-38.63,145.81,3
98017,KING ISLAND AIRPORT,TAS,20.4,-39.88,143.89,35
91331,KENNAOOK/CAPE GRIM,TAS,20.2,-40.68,144.69,86
29129,DEVONCOURT STATION,QLD,20.0,-21.22,140.23,282
40503,TALLEGALLA ALERT,QLD,20.0,-27.61,152.58,60
59032,TAYLORS ARM,NSW,20.0,-30.78,152.70,80
61415,DUNGOG (UPPER MYALL CREEK),NSW,20.0,-32.35,151.64,217
83095,ANGLERS REST (BUNDARRAH VALLEY),VIC,20.0,-37.00,147.41,790
39070,MT PERRY THE PINES,QLD,19.9,-25.17,151.64,165
26021,MOUNT GAMBIER AERO,SA,19.8,-37.75,140.77,63
26067,MOUNT SCHANK (JETHIA),SA,19.8,-37.96,140.77,21
82151,SEVEN CREEKS AT STRATHBOGIE,VIC,19.8,-36.86,145.73,470
85096,WILSONS PROMONTORY LIGHTHOUSE,VIC,19.8,-39.13,146.42,95
85301,CORNER INLET (YANAKIE),VIC,19.8,-38.81,146.19,13
94214,MOUNT DROMEDARY,TAS,19.8,-42.70,147.13,462
9534,DONNYBROOK,WA,19.6,-33.57,115.82,63
